t,x,y,yaw,depth_image_path,clr_image_path
1048.75558095,0.024992668674237765,0.024993508197337685,0.11271102543071647,/home/yolo/slam_images/0.0/left_32FC1_1048.777803173.tiff,/home/yolo/slam_images/0.0/left_rgb8_1048.777803173.png
1048.955580955,0.024996604854856958,0.02499584252400068,0.11238037256371693,/home/yolo/slam_images/0.0/right_32FC1_1048.955580955.tiff,/home/yolo/slam_images/0.0/right_rgb8_1048.955580955.png
1048.955580955,0.024996604854856958,0.02499584252400068,0.11238037256371693,/home/yolo/slam_images/0.0/front_32FC1_1048.955580955.tiff,/home/yolo/slam_images/0.0/front_rgb8_1048.955580955.png
1048.955580955,0.024996604854856958,0.02499584252400068,0.11238037256371693,/home/yolo/slam_images/0.0/rear_32FC1_1048.955580955.tiff,/home/yolo/slam_images/0.0/rear_rgb8_1048.955580955.png
1048.955580955,0.024996604854856958,0.02499584252400068,0.11238037256371693,/home/yolo/slam_images/0.0/left_32FC1_1048.977803178.tiff,/home/yolo/slam_images/0.0/left_rgb8_1048.977803178.png
1049.15558096,0.025000355044828476,0.02499770996877308,0.11203200286905292,/home/yolo/slam_images/0.0/right_32FC1_1049.15558096.tiff,/home/yolo/slam_images/0.0/right_rgb8_1049.15558096.png
1049.15558096,0.025000355044828476,0.02499770996877308,0.11203200286905292,/home/yolo/slam_images/0.0/front_32FC1_1049.15558096.tiff,/home/yolo/slam_images/0.0/front_rgb8_1049.15558096.png
1049.15558096,0.025000355044828476,0.02499770996877308,0.11203200286905292,/home/yolo/slam_images/0.0/rear_32FC1_1049.15558096.tiff,/home/yolo/slam_images/0.0/rear_rgb8_1049.15558096.png
1049.15558096,0.025000355044828476,0.02499770996877308,0.11203200286905292,/home/yolo/slam_images/0.0/left_32FC1_1049.15558096.tiff,/home/yolo/slam_images/0.0/left_rgb8_1049.177803182.png
1049.355580965,0.025004274462241405,0.02499975108024071,0.11170240566612608,/home/yolo/slam_images/0.0/front_32FC1_1049.355580965.tiff,/home/yolo/slam_images/0.0/front_rgb8_1049.355580965.png
1049.355580965,0.025004274462241405,0.02499975108024071,0.11170240566612608,/home/yolo/slam_images/0.0/right_32FC1_1049.355580965.tiff,/home/yolo/slam_images/0.0/right_rgb8_1049.355580965.png
1049.355580965,0.025004274462241405,0.02499975108024071,0.11170240566612608,/home/yolo/slam_images/0.0/left_32FC1_1049.377803187.tiff,/home/yolo/slam_images/0.0/left_rgb8_1049.377803187.png
1049.355580965,0.025004274462241405,0.02499975108024071,0.11170240566612608,/home/yolo/slam_images/0.0/rear_32FC1_1049.355580965.tiff,/home/yolo/slam_images/0.0/rear_rgb8_1049.377803187.png
1049.555580969,0.02500472683100368,0.024999774374310335,0.11137267076931794,/home/yolo/slam_images/0.0/right_32FC1_1049.555580969.tiff,/home/yolo/slam_images/0.0/right_rgb8_1049.555580969.png
1049.555580969,0.02500472683100368,0.024999774374310335,0.11137267076931794,/home/yolo/slam_images/0.0/front_32FC1_1049.555580969.tiff,/home/yolo/slam_images/0.0/front_rgb8_1049.555580969.png
1049.555580969,0.02500472683100368,0.024999774374310335,0.11137267076931794,/home/yolo/slam_images/0.0/left_32FC1_1049.577803192.tiff,/home/yolo/slam_images/0.0/left_rgb8_1049.577803192.png
1049.555580969,0.02500472683100368,0.024999774374310335,0.11137267076931794,/home/yolo/slam_images/0.0/rear_32FC1_1049.577803192.tiff,/home/yolo/slam_images/0.0/rear_rgb8_1049.577803192.png
