time,linear_x,linear_y,angular_z
1738607104.7615452,-0.0,-0.0,-0.0
1738607104.7679434,-0.0,-0.0,-0.0
1738607104.787727,-0.0,-0.0,-0.0
1738607104.7982528,-0.0,-0.0,-0.0
1738607104.8177066,-0.0,-0.0,-0.0
1738607104.838131,-0.0,-0.0,-0.0
1738607104.8585725,-0.0,-0.0,-0.0
1738607104.869603,-0.0,-0.0,-0.0
1738607104.8885214,-0.0,-0.0,-0.0
1738607104.8995605,-0.0,-0.0,-0.0
1738607104.910145,-0.0,-0.0,-0.0
1738607104.9296844,-0.0,-0.0,-0.0
1738607104.9499705,-0.0,-0.0,-0.0
1738607104.9696486,-0.0,-0.0,-0.0
1738607104.9823806,-0.0,-0.0,-0.0
1738607104.9986238,-0.0,-0.0,-0.0
1738607105.014946,-0.0,-0.0,-0.0
1738607105.0298948,-0.0,-0.00012163805076852441,-0.0
1738607105.0385983,-0.0,-0.05966760516166687,-0.0
1738607105.046071,-0.0,-0.09852203130722047,-0.0
1738607105.0547438,-0.0,-0.09999999403953552,-0.0
1738607105.071202,-0.0,-0.09999999403953552,-0.0
1738607105.0870335,-0.0,-0.09999999403953552,-0.0
1738607105.1020596,-0.0,-0.09999999403953552,-0.0
1738607105.1212933,-0.0,-0.09999999403953552,-0.0
1738607105.1321573,-0.0,-0.09999999403953552,-0.0
1738607105.150583,-0.0,-0.09999999403953552,-0.0
1738607105.1665924,-0.0,-0.09999999403953552,-0.0
1738607105.1827097,-0.0,-0.09999999403953552,-0.0
1738607105.1983833,-0.0,-0.09999999403953552,-0.0
1738607105.214512,-0.0,-0.09999999403953552,-0.0
1738607105.230463,-0.0,-0.09999999403953552,-0.0
1738607105.246882,-0.0,-0.09999999403953552,-0.0
1738607105.2629614,-0.0,-0.09999999403953552,-0.0
1738607105.2782712,-0.0,-0.09999999403953552,-0.0
1738607105.2946925,-0.0,-0.09999999403953552,-0.0
1738607105.3137095,-0.0,-0.09999999403953552,-0.0
1738607105.3242648,-0.0,-0.09999999403953552,-0.0
1738607105.3444626,-0.0,-0.09999999403953552,-0.0
1738607105.3548825,-0.0,-0.09999999403953552,-0.0
1738607105.365843,-0.0,-0.09999999403953552,-0.0
1738607105.3763666,-0.0,-0.09999999403953552,-0.0
1738607105.3959773,-0.0,-0.09999999403953552,-0.0
1738607105.4066782,-0.0,-0.09999999403953552,-0.0
1738607105.4168847,-0.0,-0.09999999403953552,-0.0
1738607105.4275634,-0.0,-0.09999999403953552,-0.0
1738607105.4472466,-0.0,-0.09999999403953552,-0.0
1738607105.457903,-0.0,-0.09999999403953552,-0.0
1738607105.4683788,-0.0,-0.09999999403953552,-0.0
1738607105.4876494,-0.0,-0.09999999403953552,-0.0
1738607105.4988172,-0.0,-0.09999999403953552,-0.0
1738607105.518141,-0.0,-0.09999999403953552,-0.0
1738607105.5286636,-0.0,-0.09999999403953552,-0.0
1738607105.5395029,-0.0,-0.09999999403953552,-0.0
1738607105.559092,-0.0,-0.09999999403953552,-0.0
1738607105.570005,-0.0,-0.09999999403953552,-0.0
1738607105.5889654,-0.0,-0.09999999403953552,-0.0
1738607105.5998933,-0.0,-0.09999999403953552,-0.0
1738607105.610151,-0.0,-0.09999999403953552,-0.0
1738607105.6309617,-0.0,-0.09999999403953552,-0.0
1738607105.6412804,-0.0,-0.09999999403953552,-0.0
1738607105.660904,-0.0,-0.09999999403953552,-0.0
1738607105.671649,-0.0,-0.09999999403953552,-0.0
1738607105.6908238,-0.0,-0.09999999403953552,-0.0
1738607105.7016137,-0.0,-0.09999999403953552,-0.0
1738607105.7125738,-0.0,-0.09999999403953552,-0.0
1738607105.731769,-0.0,-0.09999999403953552,-0.0
1738607105.7425504,-0.0,-0.09999999403953552,-0.0
1738607105.7622411,-0.0,-0.09999999403953552,-0.0
1738607105.772629,-0.0,-0.09999999403953552,-0.0
1738607105.7922506,-0.0,-0.09999999403953552,-0.0
1738607105.80205,-0.0,-0.09999999403953552,-0.0
1738607105.8223803,-0.0,-0.09999999403953552,-0.0
1738607105.84179,-0.0,-0.09999999403953552,-0.0
1738607105.8537085,-0.0,-0.09999999403953552,-0.0
1738607105.8732529,-0.0,-0.09999999403953552,-0.0
1738607105.884214,-0.0,-0.09999999403953552,-0.0
1738607105.8949254,-0.0,-0.09999999403953552,-0.0
1738607105.9139996,-0.0,-0.09999999403953552,-0.0
1738607105.9247081,-0.0,-0.09999999403953552,-0.0
1738607105.9439301,-0.0,-0.09999999403953552,-0.0
1738607105.9550626,-0.0,-0.09999999403953552,-0.0
1738607105.9741452,-0.0,-0.09999999403953552,-0.0
1738607105.9846456,-0.0,-0.09999999403953552,-0.0
1738607105.9959142,-0.0,-0.09999999403953552,-0.0
