time,wheel_1,wheel_2,wheel_3,wheel_4
1738607104.7614133,0.0,-0.0,0.0,-0.0
1738607104.7684355,0.0,-0.0,0.0,-0.0
1738607104.7883184,0.0,-0.0,0.0,-0.0
1738607104.7989368,0.0,-0.0,0.0,-0.0
1738607104.8181388,0.0,-0.0,0.0,-0.0
1738607104.8386846,0.0,-0.0,0.0,-0.0
1738607104.8591197,0.0,-0.0,0.0,-0.0
1738607104.8700593,0.0,-0.0,0.0,-0.0
1738607104.8889337,0.0,-0.0,0.0,-0.0
1738607104.89997,0.0,-0.0,0.0,-0.0
1738607104.9107106,0.0,-0.0,0.0,-0.0
1738607104.930332,0.0,-0.0,0.0,-0.0
1738607104.9503765,0.0,-0.0,0.0,-0.0
1738607104.9701126,0.0,-0.0,0.0,-0.0
1738607104.9827535,0.0,-0.0,0.0,-0.0
1738607104.9990776,0.0,-0.0,0.0,-0.0
1738607105.0155487,0.0,-0.0,0.0,-0.0
1738607105.0302083,0.6561679790026247,0.6561679790026247,-0.6561679790026247,-0.6561679790026247
1738607105.0391803,0.7830394378171505,0.7830394378171505,-0.7830394378171505,-0.7830394378171505
1738607105.046718,1.2929400434018432,1.2929400434018432,-1.2929400434018432,-1.2929400434018432
1738607105.0551612,1.3123358797839306,1.3123358797839306,-1.3123358797839306,-1.3123358797839306
1738607105.0719795,1.3123358797839306,1.3123358797839306,-1.3123358797839306,-1.3123358797839306
1738607105.0878212,1.3123358797839306,1.3123358797839306,-1.3123358797839306,-1.3123358797839306
1738607105.102806,1.3123358797839306,1.3123358797839306,-1.3123358797839306,-1.3123358797839306
1738607105.1217935,1.3123358797839306,1.3123358797839306,-1.3123358797839306,-1.3123358797839306
1738607105.1327176,1.3123358797839306,1.3123358797839306,-1.3123358797839306,-1.3123358797839306
1738607105.1512184,1.3123358797839306,1.3123358797839306,-1.3123358797839306,-1.3123358797839306
1738607105.1673102,1.3123358797839306,1.3123358797839306,-1.3123358797839306,-1.3123358797839306
1738607105.183234,1.3123358797839306,1.3123358797839306,-1.3123358797839306,-1.3123358797839306
1738607105.1988618,1.3123358797839306,1.3123358797839306,-1.3123358797839306,-1.3123358797839306
1738607105.2150986,1.3123358797839306,1.3123358797839306,-1.3123358797839306,-1.3123358797839306
1738607105.230783,1.3123358797839306,1.3123358797839306,-1.3123358797839306,-1.3123358797839306
1738607105.247482,1.3123358797839306,1.3123358797839306,-1.3123358797839306,-1.3123358797839306
1738607105.2635293,1.3123358797839306,1.3123358797839306,-1.3123358797839306,-1.3123358797839306
1738607105.2789826,1.3123358797839306,1.3123358797839306,-1.3123358797839306,-1.3123358797839306
1738607105.2953293,1.3123358797839306,1.3123358797839306,-1.3123358797839306,-1.3123358797839306
1738607105.3144133,1.3123358797839306,1.3123358797839306,-1.3123358797839306,-1.3123358797839306
1738607105.32463,1.3123358797839306,1.3123358797839306,-1.3123358797839306,-1.3123358797839306
